CustomerKey,First Name,Last Name,Gender,Date of First Purchase,Customer City
11144,Edward,Hernandez,Male,1/25/2013,Ballard
11235,Angel,Stewart,Male,7/4/2013,Ballard
11301,Cameron,Rodriguez,Male,6/9/2013,Ballard
11770,Peter,Nara,Male,8/8/2013,Ballard
11785,Theodore,Diaz,Male,4/21/2013,Ballard
11878,Christine,Nara,Female,11/30/2013,Ballard
11884,Latoya,Shen,Female,2/17/2013,Ballard
12366,Stephanie,Cox,Female,4/11/2013,Ballard
13274,Joshua,Lee,Male,1/31/2012,Ballard
13432,Dalton,Wood,Male,3/27/2013,Ballard
13659,Clayton,Shan,Male,6/5/2013,Ballard
13754,Paige,Peterson,Female,12/18/2013,Ballard
13926,Dalton,Hill,Male,5/5/2013,Ballard
14097,Johnathan,Srini,Male,7/25/2013,Ballard
14342,Beth,Ruiz,Female,7/31/2012,Ballard
14404,Rachel,Davis,Female,2/22/2013,Ballard
14637,Dustin,Nath,Male,9/24/2013,Ballard
15258,Chloe,Reed,Female,9/25/2013,Ballard
15512,Jose,Hayes,Male,10/23/2013,Ballard
15892,Pamela,Srini,Female,10/28/2012,Ballard
16022,Devin,Hernandez,Male,8/6/2013,Ballard
16068,Jerry,Shen,Male,9/18/2013,Ballard
16229,Wayne,Chande,Male,12/7/2013,Ballard
16877,Katelyn,Adams,Female,2/15/2013,Ballard
17349,Cassie,Kennedy,Female,10/17/2013,Ballard
18402,Kimberly,Kelly,Female,8/29/2013,Ballard
18403,Madeline,Phillips,Female,12/26/2013,Ballard
18813,Kristy,Hernandez,Female,1/20/2014,Ballard
18861,Ashley,Wood,Female,10/10/2013,Ballard
18886,Donald,McDonald,Male,9/26/2013,Ballard
18887,Kari,Hernandez,Female,12/27/2013,Ballard
19126,Kristopher,Kapoor,Male,9/26/2013,Ballard
19663,Alex,Allen,Male,8/25/2013,Ballard
19860,Sara,Young,Female,2/26/2013,Ballard
20274,Brent,Wang,Male,8/2/2013,Ballard
20281,Karl,Xie,Male,6/18/2013,Ballard
20389,Lee,Romero,Male,11/4/2013,Ballard
20513,Joseph,Smith,Male,3/29/2013,Ballard
21296,Luis,Hall,Male,1/16/2014,Ballard
22721,Colleen,Lin,Female,8/7/2013,Ballard
22741,Darryl,He,Male,3/24/2013,Ballard
23193,Alexis,Flores,Female,6/25/2013,Ballard
23246,Renee,Gill,Female,8/16/2013,Ballard
23381,Bianca,Hu,Female,1/28/2014,Ballard
23448,Abigail,Peterson,Female,11/16/2013,Ballard
23460,Javier,Ramos,Male,10/23/2013,Ballard
23504,George,Rana,Male,5/28/2013,Ballard
23869,Wayne,Nara,Male,3/10/2013,Ballard
25898,Brittney,Cai,Female,7/7/2013,Ballard
26006,Garrett,Peterson,Male,11/25/2013,Ballard
26062,Chad,Raji,Male,5/18/2013,Ballard
26116,Ashley,Martin,Female,12/17/2011,Ballard
26256,Ronald,Rana,Male,10/9/2013,Ballard
26278,Jon,Wu,Male,2/3/2013,Ballard
26506,Ruth,Srini,Female,2/23/2013,Ballard
26542,Jamie,Torres,Male,4/13/2013,Ballard
26714,Angela,Long,Female,5/18/2013,Ballard
27036,Hunter,Brown,Male,3/1/2013,Ballard
27074,Kristi,Sanchez,Female,8/6/2012,Ballard
27098,Sarah,Wilson,Female,8/18/2013,Ballard
27548,Mason,Green,Male,12/23/2013,Ballard
27671,Jeremiah,Martinez,Male,1/9/2011,Ballard
27730,Isabella,Cox,Female,5/6/2013,Ballard
28142,Willie,Lin,Male,3/26/2011,Ballard
28255,Robert,Clark,Male,4/29/2011,Ballard
29036,Rebecca,Baker,Female,12/31/2013,Ballard
29284,Riley,Hughes,Female,12/11/2013,Ballard
29324,Kayla,Williams,Female,4/3/2013,Ballard
28621,Kristen,Liu,Female,5/16/2011,Barstow
20149,Heidi,Arun,Female,3/27/2011,Basingstoke Hants
14992,Dale,Andersen,Male,9/4/2013,Basingstoke Hants
26791,Kelvin,Nath,Male,8/20/2013,Baytown
26794,Michele,Dominguez,Female,7/14/2013,Beaverton
27012,Anne,Jiménez,Female,10/3/2013,Beaverton
27047,Yolanda,Rai,Female,8/19/2012,Beaverton
27109,Mandy,Cai,Female,3/14/2013,Beaverton
27115,Kristi,Navarro,Female,11/3/2013,Beaverton
26717,David,Simpson,Male,7/7/2012,Beaverton
26719,Tamara,Li,Female,7/17/2013,Beaverton
26609,Abigail,Kelly,Female,6/17/2012,Beaverton
26616,Colin,Goel,Male,6/17/2012,Beaverton
26621,Sarah,Wood,Female,10/1/2013,Beaverton
26487,Vincent,Ma,Male,4/16/2012,Beaverton
26466,Kevin,Turner,Male,6/3/2013,Beaverton
26276,Heather,Huang,Female,1/27/2012,Beaverton
26254,Seth,Henderson,Male,7/14/2013,Beaverton
26265,Tammy,Lopez,Female,11/1/2013,Beaverton
26323,Dwayne,Ruiz,Male,11/16/2013,Beaverton
26102,Ana,Wood,Female,3/31/2013,Beaverton
25979,Miguel,Edwards,Male,7/11/2011,Beaverton
25988,Victor,Muñoz,Male,8/22/2013,Beaverton
25833,Sabrina,Hernandez,Female,9/26/2013,Beaverton
25333,Robert,Coleman,Male,9/12/2013,Beaverton
25421,Marcus,Lewis,Male,7/15/2013,Beaverton
28632,Kathryn,Nath,Female,5/4/2013,Beaverton
28604,Allison,James,Female,2/5/2013,Beaverton
28660,Justin,Anderson,Male,5/1/2011,Beaverton
28664,Ashlee,Sharma,Female,5/1/2011,Beaverton
28991,Timothy,Ward,Male,3/29/2013,Beaverton
29262,Cassie,Raje,Female,1/24/2014,Beaverton
29200,Jackson,Collins,Male,7/24/2013,Beaverton
28256,Colin,Beck,Male,5/27/2013,Beaverton
28232,Gavin,Russell,Male,7/4/2013,Beaverton
28174,Marco,Subram,Male,1/15/2014,Beaverton
28175,Clifford,Subram,Male,2/24/2013,Beaverton
28179,Billy,Alvarez,Male,3/7/2011,Beaverton
28186,Jenny,Wagner,Female,3/5/2011,Beaverton
28194,Lydia,Garcia,Female,3/27/2011,Beaverton
28064,Tamara,Nath,Female,2/23/2011,Beaverton
27994,Jodi,Rai,Female,8/23/2013,Beaverton
28030,Jason,Gonzalez,Male,2/10/2011,Beaverton
28047,Jay,Sanchez,Male,2/15/2011,Beaverton
27683,Alexandra,Reed,Female,9/1/2013,Beaverton
27538,José,Jackson,Male,1/20/2014,Beaverton
27395,Jenny,Lu,Female,10/3/2013,Beaverton
23861,Keith,Anand,Male,2/16/2013,Beaverton
23874,Abigail,Cook,Female,10/30/2013,Beaverton
23820,Isabelle,Diaz,Female,12/15/2013,Beaverton
23831,Colleen,Jai,Female,2/1/2013,Beaverton
23847,Chad,Sharma,Male,11/2/2013,Beaverton
24320,Joshua,White,Male,8/10/2013,Beaverton
24435,Mariah,Hughes,Female,4/18/2013,Beaverton
23517,Ronald,Martinez,Male,10/20/2013,Beaverton
23461,Rachael,Smith,Female,1/7/2014,Beaverton
23465,Grace,Russell,Female,3/26/2013,Beaverton
23333,Steve,Sun,Male,7/12/2013,Beaverton
23260,Edwin,Goel,Male,10/23/2013,Beaverton
23555,Andres,Chavez,Male,3/25/2013,Beaverton
23668,Jessica,Hughes,Female,10/14/2013,Beaverton
23784,Preston,Arun,Male,2/6/2013,Beaverton
23157,Valerie,Gao,Female,8/15/2013,Beaverton
23198,Jacqueline,Sanders,Female,4/1/2013,Beaverton
23211,Rebekah,Kovár,Female,10/13/2013,Beaverton
23124,Cameron,Wang,Male,1/13/2014,Beaverton
23142,Cara,Wu,Female,9/13/2013,Beaverton
23001,Julio,Munoz,Male,10/7/2013,Beaverton
23046,Pamela,Malhotra,Female,2/16/2013,Beaverton
23049,Gina,Moreno,Female,3/2/2013,Beaverton
22742,Nathan,Nelson,Male,3/4/2013,Beaverton
21278,Julia,King,Female,12/30/2013,Beaverton
20469,Manuel,Suri,Male,12/17/2013,Beaverton
20472,Edward,Coleman,Male,6/27/2013,Beaverton
20473,Mason,Rivera,Male,1/26/2014,Beaverton
20352,Melissa,Foster,Female,4/16/2013,Beaverton
20356,Louis,Lu,Male,12/15/2013,Beaverton
20431,Corey,Raje,Male,9/26/2013,Beaverton
20464,Amy,Lu,Female,6/23/2013,Beaverton
20642,Patricia,Prasad,Female,10/16/2013,Beaverton
20704,Shane,Rodriguez,Male,10/1/2013,Beaverton
20743,Arianna,Howard,Female,10/30/2013,Beaverton
20777,Carly,Sharma,Female,1/9/2014,Beaverton
20782,Alan,Ye,Male,9/10/2013,Beaverton
21753,Morgan,Robinson,Female,4/30/2013,Beaverton
21773,Alyssa,Rogers,Female,5/27/2013,Beaverton
